PG_name,PG_team,PG_pos,PG_salary,PG_proj,PG_own_pct,PG_chalk,PG_sneaky,SG_name,SG_team,SG_pos,SG_salary,SG_proj,SG_own_pct,SG_chalk,SG_sneaky,SF_name,SF_team,SF_pos,SF_salary,SF_proj,SF_own_pct,SF_chalk,SF_sneaky,PF_name,PF_team,PF_pos,PF_salary,PF_proj,PF_own_pct,PF_chalk,PF_sneaky,C_name,C_team,C_pos,C_salary,C_proj,C_own_pct,C_chalk,C_sneaky,G_name,G_team,G_pos,G_salary,G_proj,G_own_pct,G_chalk,G_sneaky,F_name,F_team,F_pos,F_salary,F_proj,F_own_pct,F_chalk,F_sneaky,UTIL_name,UTIL_team,UTIL_pos,UTIL_salary,UTIL_proj,UTIL_own_pct,UTIL_chalk,UTIL_sneaky,team_counts,total_salary,total_proj,sum_own_pct,chalk_ct,sneaky_ct
Ethan Thompson,IND,PG/SG,3400,16.1,4.4,0,1,Norman Powell,MIA,SF/SG,7100,40.2,18.5,1,0,Tristan da Silva Q,ORL,PF/SF,3900,17.1,5.0,0,1,Jalen Johnson,ATL,PF,10000,55.6,20.4,1,0,Kel&#x27;el Ware,MIA,C,6200,38.9,18.4,1,0,Trae Young,ATL,PG,8800,44.1,19.2,1,0,Bobby Portis,MIL,C/PF,5900,35.2,17.2,0,0,Moussa Diabate,CHA,C,4600,29.5,13.7,0,0,ATL:2; MIA:2; CHA:1; IND:1; MIL:1; ORL:1,49900,276.7,116.8,4,2
Immanuel Quickley,TOR,PG,6400,37.0,18.5,1,0,Devin Booker,PHO,PG/SG,8900,46.1,19.2,1,0,Isaac Okoro,CHI,SF,3200,14.0,4.9,0,1,Scottie Barnes,TOR,PF,8500,45.2,20.1,1,0,Moussa Diabate,CHA,C,4600,29.5,13.7,0,0,Jaime Jaquez Jr.,MIA,SF/SG,6000,34.4,16.7,0,0,Paolo Banchero,ORL,PF,8700,47.3,20.1,1,0,Tidjane Salaun,CHA,PF,3500,14.5,3.7,0,1,CHA:2; TOR:2; CHI:1; MIA:1; ORL:1; PHO:1,49800,268.0,116.8,4,2
